""	logFC	AveExpr	t	P.Value	adj.P.Val	B
OAS2	-222.351177777778	-16.1631666666667	-3.52972764172938	0.000943349593113541	0.107357869492902	-4.56215157837313
STAT1	-149.807911111111	276.162866666667	-3.28583296058875	0.00192810221860323	0.107357869492902	-4.56612673155197
OAS1	-230.240311111111	75.4029111111111	-3.07195121026816	0.00353315095302337	0.107357869492902	-4.56955232201295
IFIT3	-172.541244444444	-0.0290888888888885	-3.03795182736238	0.00388264636314416	0.107357869492902	-4.57009019142608
OAS3	-141.953555555556	-69.5485111111111	-2.89127547831599	0.005795098000712	0.107357869492902	-4.57238571745274
ISG15	-126.9406	-190.587855555556	-2.86474443973667	0.00622336150841304	0.107357869492902	-4.57279625428352
MX1	-147.028111111111	236.352033333333	-2.85237661622469	0.00643289251514226	0.107357869492902	-4.57298710711365
IFI6	-120.150755555556	-226.107222222222	-2.84991786921898	0.00647532052978805	0.107357869492902	-4.57302500866389
DDX58	-110.445088888889	91.4178555555556	-2.82601282452589	0.0069015773245437	0.107357869492902	-4.57339279726505
EIF2AK2	-93.2484666666667	194.3377	-2.78291942343041	0.00773633315751713	0.10830866420524	-4.57405248661563
NUP54	-95.1516888888889	279.575711111111	-2.72322444898992	0.00904744360353399	0.108475390378722	-4.57495895411817
IFIT1	-149.044266666667	112.122977777778	-2.71273825910882	0.00929789060389042	0.108475390378722	-4.57511727007519
IFI27	-232.483	142.398655555556	-2.56394501600463	0.0136098395664041	0.146567503022814	-4.57733206170979
IFIT2	-199.516666666667	-21.5285333333333	-2.50432071667921	0.0158000901851663	0.158000901851663	-4.57820187541965
ARIH1	-69.1338222222222	358.348644444444	-2.32097370259267	0.024680794137379	0.224971445332947	-4.58080591884468
USP18	-407.977888888889	-9.29434444444444	-2.30374293135136	0.0257110223237653	0.224971445332947	-4.58104478575687
HERC5	-91.7567333333333	127.236944444444	-2.19726504143731	0.0329711175641542	0.255259589338473	-4.58249684031228
IFITM1	-178.164866666667	-14.8359	-2.18696624517016	0.0337614347546402	0.255259589338473	-4.58263502478968
ADAR	-107.250377777778	154.205411111111	-2.17573435254126	0.0346423728387927	0.255259589338473	-4.58278526129887
GBP1	-80.9015777777777	208.271233333333	-2.06508261837039	0.0444612297478786	0.295359284056088	-4.58423848615334
OASL	-92.6749111111111	-228.907966666667	-2.0603607511125	0.044929479505358	0.295359284056088	-4.58429938679641
KPNA5	-56.0324444444445	154.884644444444	-2.04567249585498	0.0464136017802424	0.295359284056088	-4.58448823158039
TRIM25	-105.444022222222	-50.9153222222222	-1.93669078873538	0.0588141703738025	0.357999297927494	-4.58586039606367
ICAM1	-129.707577777778	101.1883	-1.84895579117912	0.0707659331464963	0.385778064128307	-4.58692639894245
UBE2L6	-141.347022222222	41.7	-1.81598394780778	0.07576099226202	0.385778064128307	-4.58731772579617
GBP5	-80.1866444444445	151.915722222222	-1.80792169828358	0.0770266015608121	0.385778064128307	-4.58741262312794
IRF9	-208.185177777778	-31.0198111111111	-1.79648112626099	0.0788530245025569	0.385778064128307	-4.58754674796263
IRF2	-104.490044444444	48.8390222222222	-1.79485808579221	0.0791150561415366	0.385778064128307	-4.58756572462032
GBP4	-82.2462	36.1832333333333	-1.7873699609425	0.0803334589957569	0.385778064128307	-4.58765311064587
B2M	-97.9863555555556	61.8720222222222	-1.77329185785177	0.0826667280274943	0.385778064128307	-4.58781666227055
MX2	-93.2237777777778	280.803	-1.75483196595023	0.0858118773026449	0.387537510399041	-4.58802964719727
NUP35	-63.3744444444445	185.630022222222	-1.70358874887977	0.0950690699520561	0.415927181040246	-4.58861200372001
XAF1	-130.037044444444	82.5206111111111	-1.68125820528233	0.0993540046016177	0.420972857088958	-4.58886163875575
NUP205	-58.5804222222222	352.124788888889	-1.66667998773339	0.102236265293033	0.420972857088958	-4.58902323464232
MT2A	-350.739288888889	-369.435355555556	-1.60943314095132	0.11422555739729	0.456902229589161	-4.58964714005765
EIF4A3	-97.5098444444445	138.034855555556	-1.58359115860364	0.120000097038528	0.46437201785895	-4.58992312987788
IFITM3	-128.739088888889	96.9200111111111	-1.57173666972131	0.122726890434151	0.46437201785895	-4.59004854248317
HLA-DPA1	-131.340222222222	99.155	-1.54593665598557	0.128834156086472	0.474652154002793	-4.59031887406482
IRF1	-66.1942222222222	-108.487355555556	-1.48173157002695	0.145092396717463	0.520844501037047	-4.59097583159774
HLA-B	-84.7355333333333	-80.4781666666667	-1.45498507892592	0.152326853057633	0.533143985701715	-4.59124275647522
HLA-DQA2	-62.7970888888889	-189.790588888889	-1.43778116221818	0.15712802673746	0.536534725444986	-4.59141231992077
KPNA2	-50.8349333333333	109.338266666667	-1.4042167323875	0.166834902092531	0.546749472270109	-4.5917382892432
IFI35	-220.2982	-107.681077777778	-1.40052557766437	0.167930195054391	0.546749472270109	-4.5917737431008
NUPL1	-56.2455333333334	193.1053	-1.37546766128378	0.175513609324204	0.558452393304284	-4.59201234786855
IFITM2	-217.102511111111	-90.3980777777778	-1.33266561728415	0.189073026527392	0.588227193640774	-4.59241145954457
HLA-F	-58.2126222222222	-132.754355555556	-1.31741099597333	0.194093734202034	0.590720060614887	-4.59255109868801
UBE2N	-137.874422222222	31.7944777777778	-1.29148436536078	0.202857609644541	0.604256709579485	-4.5927852577021
HLA-A	-200.4652	-183.843488888889	-1.2575656604912	0.214767914317552	0.613437442874873	-4.59308551782989
HLA-G	47.3192	-169.962577777778	1.24574468619138	0.219038781543079	0.613437442874873	-4.59318852850103
IP6K2	82.8744444444445	156.109111111111	1.24561824798191	0.21908480102674	0.613437442874873	-4.59318962572764
KPNA4	-39.1720666666667	73.2546333333333	-1.22438434581176	0.226915257271302	0.622904627803574	-4.59337251121166
KPNB1	-44.8151333333334	280.290144444444	-1.21215276166076	0.231518435707488	0.623318865366314	-4.5934766091745
NUP133	-41.9473333333333	13.5978666666667	-1.17304545611896	0.246694421122173	0.632784442095493	-4.59380324935169
STAT2	-153.107333333333	2.39357777777778	-1.16165267146505	0.251247985539413	0.632784442095493	-4.59389662219052
GBP7	67.0638666666667	12.4966888888889	1.15883561205501	0.252383209113373	0.632784442095493	-4.59391958537639
IFNAR2	-44.3988888888889	94.8055777777778	-1.15702752522097	0.253113776838197	0.632784442095493	-4.59393429782715
NUP93	-48.5228666666667	322.093166666667	-1.04960405966975	0.299272869550428	0.698389900165829	-4.59477134285809
FCGR1A	-114.376377777778	-16.0111444444444	-1.03823100951188	0.30447987379116	0.698389900165829	-4.59485564455692
UBA52	-171.437911111111	9.34431111111111	-1.02019074974928	0.312866056809682	0.698389900165829	-4.59498764911557
PIN1	42.4538222222222	-210.170777777778	1.0111582575233	0.317123351114901	0.698389900165829	-4.59505294775044
EIF4E2	88.3716	114.776555555556	1.00566423105263	0.319731951273296	0.698389900165829	-4.59509240581843
NUP210	-45.9342888888889	-162.297477777778	-1.00498397041407	0.320055948750488	0.698389900165829	-4.59509727774942
SOCS3	-40.8368666666667	-219.516277777778	-1.00486239685057	0.320113875665907	0.698389900165829	-4.59509814812409
IFNGR1	-38.5814444444444	68.4095888888889	-1.00471135335339	0.320185854161006	0.698389900165829	-4.59509922934682
NEDD4	-34.7295555555555	315.487533333333	-0.966336569705402	0.3388270560407	0.698389900165829	-4.59536908905613
HLA-DPB1	-128.500422222222	-98.3140333333333	-0.96519707276733	0.339391369799312	0.698389900165829	-4.59537695431927
NUP50	-34.1540888888889	152.9506	-0.957566998467206	0.343186038548823	0.698389900165829	-4.59542939943868
HLA-DRB1	-62.3701555555556	-155.0459	-0.951753847410974	0.346095805035682	0.698389900165829	-4.59546909791063
RNASEL	-53.8839777777778	39.7769444444445	-0.94624034446502	0.34887052914661	0.698389900165829	-4.59550654350601
NUPL2	33.2298222222223	204.223177777778	0.934101885052825	0.355030581594012	0.698389900165829	-4.59558827319204
MAPK3	-61.3873333333333	-15.8322444444444	-0.92816986746676	0.358066600249233	0.698389900165829	-4.59562785825071
IFNAR1	-27.1697333333334	94.0432666666667	-0.926018267345989	0.359171948656712	0.698389900165829	-4.59564215829042
RPS27A	-50.1572	32.8855555555556	-0.913029530992144	0.365891636447297	0.701709987707145	-4.59572782935704
PTPN1	-46.9590888888888	-216.899188888889	-0.898764425640511	0.373364333652453	0.706364955558695	-4.59582062090524
GBP2	-37.5189111111111	151.627033333333	-0.88036159874102	0.383147525094591	0.708305346663602	-4.59593831285428
HLA-DRB5	-48.0670444444445	-180.065388888889	-0.877825004606883	0.384508616760241	0.708305346663602	-4.59595435670628
NUP43	-37.8252888888889	-186.509422222222	-0.843677480402717	0.403127596273563	0.732959265951932	-4.59616611156518
UBA7	32.9038	-68.3354111111111	0.811057657266321	0.421424970085858	0.747175044497797	-4.59636100638761
IFNGR2	-31.6939777777778	50.9218777777778	-0.810714306337697	0.4216202036809	0.747175044497797	-4.59636301924782
PTPN6	-54.4074444444445	-68.0141444444444	-0.774953888352988	0.442252357881605	0.773941626292809	-4.59656823999562
GBP6	-40.4004	-5.52288888888889	-0.728977678932883	0.469636103396067	0.80245996233621	-4.59681914711413
EIF4G2	-30.4675555555555	272.106288888889	-0.726715633131636	0.471007935255172	0.80245996233621	-4.59683111404312
EIF4A1	-71.7774222222223	11.0832444444444	-0.718934693532038	0.475744120527896	0.80245996233621	-4.59687200613
PPM1B	-25.4114888888889	248.711322222222	-0.701193061341933	0.486643439588229	0.809114681110754	-4.59696366979771
FLNB	77.9569555555555	59.3970777777778	0.685456829413455	0.496426227368653	0.809114681110754	-4.59704313420045
EGR1	-61.7102222222223	-143.556955555556	-0.68449511586233	0.497027589825177	0.809114681110754	-4.59704793448757
SOCS1	24.2276	-287.830133333333	0.668424458509015	0.507135652527729	0.814904451393433	-4.59712719050371
HLA-C	-30.4140888888889	-145.921288888889	-0.660397832945028	0.512225655161587	0.814904451393433	-4.59716609702133
IRF8	-55.3997111111111	25.3581	-0.611545934969214	0.543788078629667	0.833571968038126	-4.59739310282621
NUP214	-35.9339333333334	461.811366666667	-0.597646422734504	0.552947611835291	0.833571968038126	-4.59745460692216
AAAS	-33.7800444444444	-89.6801777777778	-0.597083279255839	0.553320353456866	0.833571968038126	-4.59745706988387
NUP107	-20.1442444444445	256.378166666667	-0.595886757489652	0.554112746426745	0.833571968038126	-4.59746229550948
PIAS1	-19.7894	236.097722222222	-0.593382033467066	0.555773346396104	0.833571968038126	-4.59747320158148
NUP188	-60.6952888888889	4.2334	-0.587498281407201	0.559684035682742	0.833571968038126	-4.59749864523739
SUMO1	-20.4522444444445	56.2048555555556	-0.562484117637949	0.576462110688197	0.83499251619908	-4.59760406530014
POM121	116.585133333333	-149.877033333333	0.557002299288905	0.580171470362432	0.83499251619908	-4.59762657185381
JAK1	24.0344222222222	180.5861	0.553985538612638	0.582217724057908	0.83499251619908	-4.59763886611862
FCGR1B	99.4841777777778	13.9047777777778	0.54255207378545	0.590004400777136	0.83499251619908	-4.59768487051019
HLA-DQA1	-28.0664666666667	-119.015988888889	-0.541886811529075	0.590458993597921	0.83499251619908	-4.59768751850594
VCAM1	23.8234666666667	82.6113111111111	0.524691881921961	0.602266093723071	0.837945459190902	-4.59775486069577
SEH1L	-17.8286444444444	183.978077777778	-0.497137157323083	0.62141236246841	0.837945459190902	-4.59785834972336
CAMK2A	32.6305111111111	-82.5595888888889	0.496663986498581	0.62174351758612	0.837945459190902	-4.5978600791407
IRF6	-28.2370666666668	34.3733555555556	-0.490897791089827	0.625785405505054	0.837945459190902	-4.59788102472641
NUP85	23.5910222222222	-8.8004	0.487963975503943	0.627846375712855	0.837945459190902	-4.59789158977746
NUP155	-23.3832666666667	182.7537	-0.482316190915205	0.631822312029874	0.837945459190902	-4.59791175343375
IRF5	-23.9198444444444	-145.088855555556	-0.452158659305403	0.653236801198283	0.837945459190902	-4.59801552208943
EIF4G3	-17.6686	498.362766666667	-0.451476219797646	0.653724911282935	0.837945459190902	-4.598017794172
SP100	-22.8825777777777	211.813755555556	-0.444339315172004	0.658838661904244	0.837945459190902	-4.5980413533305
PML	-24.3727111111111	-36.8136666666667	-0.432918653419509	0.667056099941145	0.837945459190902	-4.59807828513365
EIF4E3	-81.5118888888888	203.280433333333	-0.423466944314181	0.673888201696627	0.837945459190902	-4.59810813400329
IRF7	13.0909555555555	-206.196233333333	0.421753050486444	0.675130078506531	0.837945459190902	-4.59811347705617
NCAM1	22.2970444444444	374.059988888889	0.409611401191154	0.683953829680977	0.837945459190902	-4.59815071716299
IFNG	-17.5609777777778	-45.6201111111111	-0.40134275448217	0.689988631245145	0.837945459190902	-4.59817546440434
CIITA	-25.6256	-16.314	-0.397132748826124	0.69306913448404	0.837945459190902	-4.59818787329016
EIF4G1	-16.3277777777777	22.7692222222222	-0.395567219696109	0.694215988608743	0.837945459190902	-4.59819245471727
UBE2E1	-14.1303555555556	162.970266666667	-0.389404633490024	0.698737495951399	0.837945459190902	-4.59821031563275
NUP153	-13.4231111111111	-20.6071777777778	-0.387301661499395	0.700282990895254	0.837945459190902	-4.59821634728616
NUP62	25.5357111111111	-189.089477777778	0.363601681325159	0.717787581921586	0.84680922781368	-4.59828209136018
PTAFR	29.3584888888889	-176.584711111111	0.354121739780216	0.724833067934914	0.84680922781368	-4.5983072399378
PLCG1	15.3125777777778	-9.67628888888889	0.35277426655494	0.725836480983154	0.84680922781368	-4.59831076119389
IRF4	11.3268222222222	-151.207477777778	0.281032151634771	0.77992049853396	0.893559443409852	-4.5984790207181
RANBP2	-13.1172444444444	94.5160222222222	-0.279323990548211	0.781222951595656	0.893559443409852	-4.59848256614692
RAE1	40.9608888888889	48.6907333333333	0.274302028723964	0.785055796710084	0.893559443409852	-4.59849286526643
TPR	-7.57244444444447	289.685488888889	-0.245126196434561	0.807426950637841	0.911611073300788	-4.59854902487141
IRF3	17.6441777777778	-62.9061111111111	0.216407129025845	0.829607913741333	0.929160863390292	-4.59859817335551
EIF4E	31.1286	35.6579666666667	0.188290461001192	0.851460417571137	0.946067130634597	-4.59864038750011
PTPN2	-7.90873333333331	288.242455555556	-0.174740429172527	0.862034933927074	0.950258707402827	-4.59865864315831
JAK2	-7.05233333333329	70.7821	-0.166078901741066	0.868807961054013	0.950258707402827	-4.59866960048968
TYK2	-7.80966666666665	52.9240333333333	-0.15005401758001	0.881364750171626	0.952645379597763	-4.59868840770793
EIF4A2	8.26468888888894	161.054722222222	0.145932663645559	0.884599281055066	0.952645379597763	-4.59869293699581
PSMB8	3.41208888888886	-224.334311111111	0.123317891060289	0.902381754426121	0.961947649657429	-4.59871554873709
ISG20	-7.2685111111111	-27.3706111111111	-0.117482030271485	0.906979212534147	0.961947649657429	-4.5987207680758
CD44	5.33255555555558	443.865588888889	0.108065831789587	0.914403960291121	0.962530484516969	-4.59872865669608
PRKCD	6.90697777777785	-58.5639777777778	0.0922296952653763	0.92690794496558	0.968411285784934	-4.59874043969979
NUP88	-2.43857777777778	321.784155555556	-0.0806209938792143	0.936086041727627	0.970755895124946	-4.59874789453413
NUP37	-3.36517777777775	152.4709	-0.0659678938105149	0.947683480387563	0.975556523928373	-4.59875587543819
CAMK2D	1.49180000000001	161.687522222222	0.0421222857625954	0.966579833686104	0.983395331244625	-4.59876545310469
KPNA1	0.884044444444452	182.580333333333	0.0268849087728647	0.978665475901055	0.983395331244625	-4.59876936064168
CAMK2B	1.15211111111117	10.2291888888889	0.0243231992026474	0.980697890031922	0.983395331244625	-4.59876984814552
KPNA3	-0.55417777777779	91.7271777777778	-0.0209235204092093	0.983395331244625	0.983395331244625	-4.59877041980449
